genre,tempo,spectral_centroid,zcr,rms,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,chroma_1,chroma_2,chroma_3,chroma_4,chroma_5,chroma_6,chroma_7,chroma_8,chroma_9,chroma_10,chroma_11,chroma_12,word_count,sentiment,top_words,average_brightness
action,[124.36288436],[1614.87252979],0.0903629064175078,0.08999305,-210.31418,125.160194,-30.875294,44.779716,-16.835392,23.035519,-9.765264,12.584696,-4.5035253,3.3477836,3.0522642,-2.780662,5.699927,0.42777985,0.41626567,0.4216364,0.43132386,0.4205122,0.4234616,0.42114705,0.4438387,0.42933455,0.4316702,0.45568284,0.4257682,182,0.2817,"[('game', 4), ('right', 3), ('morning', 2), ('meteors', 2), ('look', 2), ('wrong', 2), ('know', 2), ('moment', 2), ('think', 2), ('still', 2)]",49.562531916829094
adventure,[123.9790483],[1670.02218864],0.0871548033431993,0.06994199,-225.72115,120.45447,-24.429781,45.25401,-17.47893,23.365213,-8.84256,13.084815,-4.1759944,3.048301,1.9462299,-3.6223843,5.10802,0.3986369,0.41550648,0.44215706,0.42093477,0.42859504,0.42274165,0.43083072,0.4258114,0.43032786,0.46106398,0.40708578,0.3915242,303,-0.8956,"[('going', 5), ('game', 5), ('like', 4), ('never', 4), ('know', 3), ('think', 3), ('right', 3), ('fifty', 3), ('wrong', 3), ('knew', 3)]",59.76099972523205
comedy,[130.30395407],[1760.75999042],0.0958234032021592,0.053117834,-241.66449,122.60115,-30.631477,46.187584,-18.369783,23.300175,-12.781608,10.810445,-4.9429984,1.7068274,1.6135083,-4.1489954,4.1668253,0.4169657,0.42011696,0.4311513,0.41932967,0.43036652,0.43039632,0.43511724,0.44836703,0.43599513,0.45404255,0.42506406,0.40346447,471,0.9924,"[('think', 7), ('like', 7), ('going', 6), ('animal', 6), ('days', 5), ('forty', 4), ('yeah', 4), ('never', 4), ('wrong', 4), ('game', 4)]",60.29058873468203
crime,[147.66557173],[1573.35086471],0.0768017332787054,0.076160416,-230.50964,125.86955,-22.114851,51.3151,-13.4941435,32.081886,-10.710357,17.122478,-2.4765189,5.9012947,3.1992188,-3.4028487,6.718976,0.43268484,0.43452874,0.4630652,0.46258575,0.4689321,0.48754153,0.49349982,0.47364125,0.4685461,0.5052508,0.47241706,0.43178242,162,0.852,"[('going', 5), ('think', 3), ('bank', 3), ('never', 3), ('fifty', 3), ('paris', 2), ('room', 2), ('tonight', 2), ('magic', 2), ('trick', 2)]",54.66914317442733
drama,[133.39005695],[1509.07438125],0.0809908931079623,0.07884737,-244.03885,126.83167,-20.47563,43.72983,-14.275898,23.393644,-8.620997,10.604431,-3.096071,2.8905368,1.5607022,-2.7760515,4.257809,0.39379904,0.3857383,0.41383833,0.40682074,0.4258914,0.4235338,0.42224514,0.42809582,0.43009883,0.4625016,0.41662246,0.40354082,471,0.9967,"[('want', 7), ('going', 7), ('think', 6), ('never', 5), ('like', 4), ('take', 4), ('marry', 3), ('ever', 3), ('able', 3), ('feelings', 3)]",53.815369092676015
fantasy,[122.89151278],[1629.69415315],0.0850806463860774,0.11268407,-182.9145,129.26941,-26.764755,42.726177,-18.0592,21.167017,-11.834668,12.068497,-4.6299944,2.1415422,1.2300352,-4.2257915,5.0909996,0.35843578,0.37229502,0.38099873,0.38641226,0.4016715,0.3723501,0.4175214,0.43208492,0.41174674,0.41317368,0.38001838,0.40546632,148,-0.9618,"[('like', 4), ('game', 4), ('going', 3), ('think', 2), ('monsters', 2), ('hell', 2), ('yeah', 2), ('guys', 2), ('means', 2), ('right', 2)]",45.35488554055028
horror,[127.33871177],[1537.61416053],0.0852439740767377,0.16644464,-154.90012,140.4438,-26.234093,41.11699,-15.794506,21.9433,-12.82447,10.739189,-4.2758303,2.618845,2.6845765,-2.6192331,5.3427286,0.45761865,0.3941298,0.41355535,0.4280815,0.48816723,0.43810785,0.42083547,0.43944493,0.43843538,0.47087944,0.45281562,0.5169774,175,0.9355,"[('candidates', 3), ('carpenter', 2), ('looking', 2), ('blood', 2), ('facility', 2), ('study', 2), ('cure', 2), ('count', 2), ('deadfall', 2), ('entering', 2)]",47.14293863699599
romance,[144.3264836],[1560.1925967],0.0881089742349861,0.040701035,-286.04572,128.696,-24.969086,39.80083,-11.762167,18.870012,-10.373009,5.62056,-3.3937397,-0.3844487,-0.25933307,-3.5473068,1.9424877,0.41745144,0.3818609,0.40510407,0.39243323,0.40108782,0.42630568,0.3948811,0.44514886,0.4139716,0.4508829,0.42680532,0.3833327,275,0.9963,"[('think', 5), ('days', 5), ('like', 4), ('want', 4), ('forty', 4), ('marry', 3), ('sexual', 3), ('thing', 2), ('ever', 2), ('take', 2)]",46.46885843956212
sci-fi,[133.83634665],[1564.78795432],0.0877777137398789,0.0821271,-224.77054,129.41185,-22.849241,44.23874,-14.348557,22.34886,-10.085106,11.359929,-3.7735913,2.945204,2.1642647,-2.5287614,5.430668,0.40711546,0.38634786,0.40966663,0.41894493,0.44813824,0.42590475,0.41581133,0.41356465,0.4271722,0.47379276,0.45016935,0.44970623,260,0.0932,"[('animal', 5), ('future', 4), ('something', 3), ('know', 3), ('candidates', 3), ('warrior', 3), ('morning', 2), ('meteors', 2), ('children', 2), ('wrong', 2)]",61.45405122501468
thriller,[140.01599019],[1418.23868292],0.0727759051914223,0.08249293,-238.09671,132.5928,-16.862095,42.845554,-9.772017,26.543758,-7.886244,14.129226,-1.0574262,4.4740653,3.1814194,-1.5903382,5.6717863,0.46776506,0.42559394,0.43090796,0.4636553,0.49329072,0.48120528,0.45510918,0.4663114,0.4807317,0.4917565,0.47366348,0.48224616,275,0.7135,"[('going', 4), ('future', 4), ('think', 3), ('bank', 3), ('time', 3), ('trick', 3), ('thank', 3), ('actually', 3), ('candidates', 3), ('paris', 2)]",42.20561811135333
