mid,action,adventure,comedy,crime,drama,fantasy,horror,romance,sci-fi,thriller,split0,split1,split2
tt0035423,0,0,1,0,0,1,0,1,0,0,0,0,0
tt0113026,0,0,0,0,0,0,0,1,0,0,0,2,0
tt0113092,1,1,0,0,1,1,0,0,1,1,0,0,2
tt0118589,0,0,0,0,1,0,0,1,0,0,0,0,2
tt0118694,0,0,0,0,1,0,0,1,0,0,0,2,1
tt0118926,0,0,0,1,1,0,0,0,0,1,1,0,0
tt0119273,1,1,0,0,0,1,0,0,1,0,0,2,2
tt0120202,0,0,1,0,1,0,0,0,0,0,0,2,0
tt0120263,0,0,1,0,1,0,0,0,0,0,0,0,2
tt0120467,0,0,0,1,1,0,0,0,0,1,2,0,0
tt0120630,0,1,1,0,1,0,0,0,0,0,0,2,2
tt0120667,1,1,0,0,0,1,0,0,1,0,0,0,2
tt0120679,0,0,0,0,1,0,0,1,0,0,0,0,0
tt0120681,0,0,0,0,0,0,1,0,0,1,0,0,0
tt0120737,1,1,0,0,1,1,0,0,0,0,0,0,0
tt0120753,0,0,0,0,1,0,0,0,0,1,0,0,2
tt0120755,1,1,0,0,0,0,0,0,0,1,1,0,0
tt0120804,1,0,0,0,0,0,1,0,1,0,0,2,0
tt0120903,1,1,0,0,0,0,0,0,1,0,0,0,2
tt0120912,1,1,1,0,0,0,0,0,1,0,0,0,0
tt0120913,1,1,0,0,0,0,0,0,1,0,2,0,0
tt0120917,0,1,1,0,0,1,0,0,0,0,0,1,0
tt0121164,0,0,0,0,1,1,0,1,0,0,0,2,1
tt0121765,1,1,0,0,0,1,0,0,1,0,2,0,2
tt0121766,1,1,0,0,0,1,0,0,1,0,0,2,0
tt0122459,0,0,1,0,1,0,0,1,0,0,0,2,0
tt0123003,0,0,1,0,1,0,0,0,0,0,0,0,0
tt0125022,0,0,1,1,0,0,0,1,0,0,0,0,2
tt0126029,0,1,1,0,0,1,0,0,0,0,0,0,0
tt0127349,0,0,0,0,1,0,0,1,0,1,0,0,0
tt0130623,0,1,0,0,0,0,0,0,0,1,0,0,2
tt0131704,0,1,1,0,0,1,0,0,0,0,2,0,0
tt0132245,1,0,0,0,1,0,0,0,0,0,0,2,2
tt0132910,1,0,0,1,0,1,0,0,0,1,2,0,2
tt0133152,1,1,0,0,0,0,0,0,1,1,0,1,0
tt0133240,0,1,0,0,0,0,0,0,1,0,1,0,0
tt0134084,0,0,0,0,0,0,1,0,0,0,1,2,0
